nr;Artikelid;Varnummer;Namn;Namn2;Prisinklmoms;Pant;Volymiml;PrisPerLiter;Saljstart;Utgatt;Varugrupp;Typ;Stil;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;SortimentText;Ekologisk;Etiskt;EtisktEtikett;Koscher;RavarorBeskrivning
9961701;1148273;99617;Duval-Leroy;Blanc de Blancs Millésime Grand Cru;379.00;;750.00;505.33;07/04/2017;0;Mousserande vin;Vitt Torrt;;Flaska;Naturkork;Champagne;Frankrike;Duval-Leroy;Moestue Grape Selections AB;2006;;12.50%;TSE;Små partier;0;0;;0;Chardonnay.
3139101;1148279;31391;Gathenhielm;Vinthunden;36.70;;500.00;73.40;01/12/2016;0;Öl;Ale brittisk-amerikansk stil;Amerikansk pale ale (APA);Flaska;;Hallands län;Sverige;Onsala Hantverksbryggeri;Onsala Hantverkbryggeri;;;5.10%;TSLS;Lokalt och småskaligt;0;0;;0;
3139203;1148282;31392;von Hermansson Pale Ale;;29.70;;330.00;90.00;01/12/2016;0;Öl;Ale brittisk-amerikansk stil;Amerikansk pale ale (APA);Flaska;;Västmanlands län;Sverige;Ferna Forge Brewery AB;Ferna Forge Brewery AB;;;5.80%;TSLS;Lokalt och småskaligt;0;0;;0;Pale ale- och karamellmalt samt humle av sorterna cascade och mosaic.
3139403;1148292;31394;Aviator IPA;Lycke Bryggeri;26.70;;330.00;80.91;01/12/2016;0;Öl;Ale brittisk-amerikansk stil;India pale ale (IPA);Flaska;;Västra Götalands län;Sverige;Lycke Bryggeri;Mölnlycke Fabriksbryggeri AB;;;6.60%;TSLS;Lokalt och småskaligt;0;0;;0;Korn- och vetemalt samt humle.
7165101;1148295;71651;Barbera d'Alba La Gemella;Viberti Giovanni;177.00;;750.00;236.00;24/10/2016;0;Rött vin;;;Flaska;;Piemonte;Italien;Viberti Giovanni;Amka Vinimport AB;2014;;14.00%;BS;Övrigt sortiment;0;0;;0;
7268201;1148298;72682;Barolo Buon Padre;Viberti Giovanni;374.00;;750.00;498.67;24/10/2016;0;Rött vin;;;Flaska;;Piemonte;Italien;Viberti Giovanni;Amka Vinimport AB;2012;;14.00%;BS;Övrigt sortiment;0;0;;0;
7227501;1148304;72275;Barolo Riserva Bricco delle Viole;Viberti Giovanni;595.00;;750.00;793.33;24/10/2016;0;Rött vin;;;Flaska;;Piemonte;Italien;Viberti Giovanni;Amka Vinimport AB;2007;;14.50%;BS;Övrigt sortiment;0;0;;0;
7264701;1148310;72647;Dolbá Langhe;Viberti Giovanni;157.00;;750.00;209.33;24/10/2016;0;Rött vin;;;Flaska;;Piemonte;Italien;Viberti Giovanni;Amka Vinimport AB;2013;;13.50%;BS;Övrigt sortiment;0;0;;0;
9970502;1148313;99705;Manzanilla Pasada Pastora;Bodegas Barbadillo;99.00;;375.00;264.00;17/03/2017;0;Sherry;;;Flaska;Naturkork;Manzanilla-Sanlúcar de Barrameda;Spanien;Bodegas Barbadillo;Domaine Wines Sweden AB;;;15.00%;TSE;Små partier;0;0;;0;Palomino fino.
7218701;1148316;72187;Dolcetto d'Alba Superiore;Viberti Giovanni;171.00;;750.00;228.00;24/10/2016;0;Rött vin;;;Flaska;;Piemonte;Italien;Viberti Giovanni;Amka Vinimport AB;2014;;13.00%;BS;Övrigt sortiment;0;0;;0;
3139603;1148340;31396;365 APA;Lycke Bryggeri;22.70;;330.00;68.79;01/12/2016;0;Öl;Ale brittisk-amerikansk stil;Amerikansk pale ale (APA);Flaska;;Västra Götalands län;Sverige;Lycke Bryggeri;Mölnlycke Fabriksbryggeri AB;;;4.70%;TSLS;Lokalt och småskaligt;0;0;;0;Korn- och vetemalt samt humle.
8589102;1148395;85891;Bruichladdich;;1129.00;;500.00;2258.00;21/10/2016;0;Whisky;Malt;;Flaska;;Skottland;Storbritannien;Auld Rare Whisky Sweden;Auld Rare Whisky Sweden AB;2001;;57.20%;BS;Övrigt sortiment;0;0;;0;
7254101;1148552;72541;Bolgheri Rosso;Le Macchiole;260.00;;750.00;346.67;21/10/2016;0;Rött vin;;;Flaska;;Toscana;Italien;Le Macchiole;Vinoliv Import AB;2014;;14.00%;BS;Övrigt sortiment;0;0;;0;
7736601;1148559;77366;La Chouette de Champillion;Les Vignobles Champenois;239.00;;750.00;318.67;25/10/2016;0;Mousserande vin;Vitt Torrt;;Flaska;;Champagne;Frankrike;Les Vignobles Champenois;Sophronie AB;;;12.00%;BS;Övrigt sortiment;0;0;;0;
